numAttachments,sizeAttachments,numLinks,numLinksClickHere,numIpUrl,numLinksFileExt,htmlJavascript,numRecipients,htmlBody,numLinksNonMatching,numConcatenatedUrls,fromSenderSimilar,spanTime,numUniqueDomains,numShortenedUrls,bccExists,fromNameExists,fromNonEnglish,maxDots,numCc,noReply,subjectExists,subjectLength,senderExists,class
0,0,0,0,0,0,FALSE,2,FALSE,0,0,FALSE,19445,0,0,FALSE,TRUE,FALSE,0,1,FALSE,TRUE,29,TRUE,non-phishing
0,0,0,0,0,0,FALSE,1,TRUE,0,0,TRUE,12196,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,33,FALSE,non-phishing
0,0,0,0,0,0,FALSE,1,FALSE,0,0,FALSE,9,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,62,TRUE,non-phishing
0,0,2,2,0,2,FALSE,1,TRUE,0,0,TRUE,2,1,0,FALSE,FALSE,FALSE,6,0,FALSE,TRUE,39,FALSE,non-phishing
0,0,2,2,0,2,FALSE,1,TRUE,0,0,TRUE,1,1,0,FALSE,FALSE,FALSE,6,0,FALSE,TRUE,39,FALSE,non-phishing
0,0,0,0,0,0,FALSE,1,TRUE,0,0,FALSE,224,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,26,TRUE,non-phishing
0,0,0,0,0,0,FALSE,1,TRUE,0,0,FALSE,99,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,53,TRUE,non-phishing
0,0,0,0,0,0,FALSE,1,FALSE,0,0,FALSE,41,0,0,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,97,TRUE,non-phishing
0,0,27,2,0,0,FALSE,1,TRUE,0,0,TRUE,38,3,0,FALSE,TRUE,FALSE,5,0,FALSE,TRUE,34,FALSE,non-phishing
0,0,8,0,0,0,FALSE,1,TRUE,0,0,TRUE,4,3,0,FALSE,TRUE,FALSE,5,0,FALSE,TRUE,52,FALSE,phishing
0,0,20,0,0,0,FALSE,1,TRUE,0,0,TRUE,2,4,1,FALSE,TRUE,FALSE,4,0,FALSE,TRUE,62,FALSE,phishing
0,0,0,0,0,0,FALSE,6,TRUE,0,0,FALSE,27296,0,0,FALSE,TRUE,FALSE,0,4,FALSE,TRUE,90,TRUE,non-phishing
0,0,0,0,0,0,FALSE,1,TRUE,0,0,FALSE,34,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,30,TRUE,non-phishing
0,0,0,0,0,0,FALSE,1,TRUE,0,0,TRUE,507,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,9,FALSE,non-phishing
0,0,0,0,0,1,FALSE,1,FALSE,0,0,FALSE,44,0,0,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,71,TRUE,non-phishing
0,0,0,0,0,0,FALSE,2,TRUE,0,0,FALSE,1699,0,0,FALSE,TRUE,FALSE,0,1,FALSE,TRUE,30,TRUE,non-phishing
0,0,0,0,0,0,FALSE,2,FALSE,0,0,FALSE,56,0,0,FALSE,TRUE,FALSE,0,1,FALSE,TRUE,44,TRUE,non-phishing
0,0,0,0,0,0,FALSE,1,FALSE,0,0,TRUE,134,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,14,FALSE,non-phishing
0,0,0,0,0,0,FALSE,1,FALSE,0,0,FALSE,26,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,29,TRUE,non-phishing
0,0,0,0,0,0,FALSE,1,TRUE,0,0,FALSE,8,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,30,TRUE,non-phishing
0,0,0,0,0,0,FALSE,1,TRUE,0,0,FALSE,77,0,0,FALSE,TRUE,FALSE,0,0,FALSE,TRUE,62,TRUE,non-phishing
0,0,2,2,0,2,FALSE,1,TRUE,0,0,TRUE,5,1,0,FALSE,FALSE,FALSE,6,0,FALSE,TRUE,44,FALSE,non-phishing
0,0,0,0,0,0,FALSE,2,FALSE,0,0,TRUE,0,0,0,FALSE,TRUE,FALSE,0,1,FALSE,TRUE,55,FALSE,non-phishing
0,0,2,0,0,0,FALSE,1,TRUE,2,0,TRUE,419,1,0,FALSE,TRUE,FALSE,4,0,FALSE,TRUE,26,FALSE,phishing
