numAttachments,sizeAttachments,numLinks,numLinksClickHere,numIpUrl,numLinksFileExt,htmlJavascript,numRecipients,htmlBody,numLinksNonMatching,numConcatenatedUrls,fromSenderSimilar,spanTime,numUniqueDomains,numShortenedUrls,bccExists,fromNameExists,fromNonEnglish,maxDots,numCc,noReply,subjectExists,subjectLength,senderExists,classification
0,0,1,0,0,0,0,1,1,0,0,1,3597,1,0,0,1,0,6,0,0,1,27,0,1
0,0,1,0,1,0,0,1,1,0,0,1,200,1,0,0,1,0,6,0,0,1,84,0,1
0,0,8,0,0,0,0,1,1,4,0,1,3418,1,0,0,1,0,2,0,0,1,85,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3061,1,0,0,1,0,5,0,0,1,43,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3545,1,0,0,1,0,5,0,0,1,80,0,1
0,0,9,0,0,6,0,1,1,1,0,1,722,2,0,0,1,0,3,0,0,1,35,0,1
0,0,9,0,0,6,0,1,1,1,0,1,80,2,0,0,1,0,3,0,0,1,35,0,1
0,0,3,0,0,0,0,1,1,1,0,1,1,3,0,0,1,0,3,0,0,1,54,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3293,1,0,0,1,0,5,0,0,1,85,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3105,1,0,0,1,0,5,0,0,1,62,0,1
0,0,1,0,0,0,0,1,0,0,0,1,290,1,0,0,1,0,2,0,0,1,53,0,1
0,0,13,0,0,0,0,1,1,2,0,1,30473,2,0,0,1,0,4,0,0,1,53,0,1
0,0,2,0,2,0,0,1,1,2,0,1,40360,2,0,0,1,0,3,0,0,1,44,0,1
0,0,4,1,0,4,0,1,1,0,0,1,3681,2,0,0,1,0,5,0,0,1,53,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3533,1,0,0,1,0,5,0,0,1,68,0,1
0,0,7,0,7,0,0,1,1,0,0,1,6289,3,1,0,1,0,7,0,0,1,23,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3592,1,0,0,1,0,5,0,0,1,55,0,1
0,0,9,0,0,2,0,1,1,5,0,1,1865,3,0,0,0,0,3,0,0,1,48,0,1
0,0,9,0,6,6,0,1,1,1,0,1,34,2,0,0,1,0,4,0,0,1,35,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3530,1,0,0,1,0,5,0,0,1,66,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3165,1,0,0,1,0,5,0,0,1,76,0,1
0,0,1,1,0,1,0,3,1,0,0,1,2188,1,0,0,1,0,7,2,0,1,26,0,1
0,0,1,0,0,0,0,1,1,0,0,1,78,1,0,0,1,0,2,0,0,1,27,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3600,1,1,0,1,0,5,0,0,1,63,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3534,1,0,0,1,0,5,0,0,1,68,0,1
0,0,3,1,3,1,1,1,1,0,0,1,26518643,1,0,0,1,0,4,0,0,1,36,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3601,1,0,0,1,0,5,0,0,1,40,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3596,1,1,0,1,0,5,0,0,1,71,0,1
0,0,1,0,0,0,0,1,1,1,0,1,3590,1,1,0,1,0,5,0,0,1,85,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3589,1,0,0,1,0,5,0,0,1,39,0,1
0,0,1,0,0,0,0,1,1,0,0,1,82680,1,1,0,1,0,5,0,0,1,81,0,1
0,0,16,0,0,0,0,1,1,3,0,1,1654,2,0,0,1,0,4,0,0,1,54,0,1
0,0,1,0,0,1,0,1,1,1,0,1,3620,1,0,0,1,0,4,0,0,1,61,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3602,1,0,0,1,0,4,0,0,1,36,0,1
0,0,1,0,0,0,0,1,1,0,0,1,3345,1,1,0,1,0,5,0,0,1,85,0,1
